GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;MAIN TYRE;606C66-8;;50862429;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862422;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862420;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862410;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50862407;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50852500;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;MAIN TYRE;606C66-8;;50852494;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52482180;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382168;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382207;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382210;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382216;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382219;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52382228;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52472004;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52502210;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Consumable Part;NOSE TYRE;505C61-8;;52492333;;EA;S/S;WISNU;CONTAINER;1;;1546/GRN/SPR/2016;AVIALL PTE LTD;2016-11-08;BOBBY;POM1121;INV/9304640178;PT.LINTAS DEWATA CARGO;;
Rotable Part;OIL COOLER;8406R/20002A;;11548;;EA;S/S;WISNU;A5-2;1;;1545/GRN/SPR/2016;;2016-11-08;BOBBY;;;;;
Consumable Part;CABLE;11-05650 FT;;;;FEET;S/S;WISNU;H4-2;100;;1544/GRN/SPR/2016;AVION LOGISTICS;2016-11-03;BOBBY;POM1109;INV/970012216;DHL#1106207126;;
Consumable Part;CABLE;11-07773 FT;;;;EA;S/S;WISNU;H4-2;100;;1544/GRN/SPR/2016;AVION LOGISTICS;2016-11-03;BOBBY;POM1109;INV/970012216;DHL#1106207126;;
Consumable Part;HOSE;R221612;;;;CM;S/S;WISNU;B4-3;50;;1544/GRN/SPR/2016;AVION LOGISTICS;2016-11-03;BOBBY;POM1116;INV/970012215;DHL#1106207126;;
Consumable Part;NIPPLE;AN4022-1;;;;EA;S/S;WISNU;B3-17;10;;1544/GRN/SPR/2016;AVION LOGISTICS;2016-11-03;BOBBY;POM1116;INV/970012215;DHL#1106207126;;
Repairable Part;GYRO HORIZON;RCA22-11;;215L352;;EA;S/S;WISNU;C3;1;;1543/GRN/SPR/2016;NAYLOR'S INSTRUMENT SERVICE, INC.;2016-11-02;BOBBY;WOM452;INV/8954;DHL#5753935353;;
Consumable Part;BEARING;LM67048-20629;;;;EA;S/S;WISNU;A3-21;3;;1542/GRN/SPR/2016;EPIC AVIATION;2016-11-02;BOBBY;POM1117;INV/16-016412;DHL#9557884276;;
Consumable Part;DETECTOR;1221201-4;;;;EA;S/S;WISNU;D2-1;2;;1542/GRN/SPR/2016;EPIC AVIATION;2016-11-02;BOBBY;POM1117;INV/16-016412;DHL#9557884276;;
Consumable Part;DISC BRAKE;164-30615-1;;;;EA;S/S;WISNU;A2-1;4;;1542/GRN/SPR/2016;EPIC AVIATION;2016-11-02;BOBBY;POM1117;INV/16-016412;DHL#9557884276;;
Repairable Part;MUFFELER;0554011-1;;;;EA;S/S;WISNU;H-5;1;;1541/GRN/SPR/2016;MERPATI MAINTENANCE FACILITY;2016-11-02;BOBBY;WOM495;DN/102476;PT.POS;;
Consumable Part;BOOK INSTRUMENT/COMMERCIAL;10001784-005;;;;EA;S/S;WISNU;WISNU;100;;1540/GRN/SPR/2016;AVIALL PTE LTD;2016-11-01;BOBBY;POM1110;INV/9304549123;PT.LINTAS DEWATA CARGO;;
Consumable Part;BOOK PRIVATE PILOT;10001360-005;;;;EA;S/S;WISNU;WISNU;100;;1540/GRN/SPR/2016;AVIALL PTE LTD;2016-11-01;BOBBY;POM1110;INV/9304549123;VIA PT.LINTAS DEWATA CARGO;;
Consumable Part;COMPUTER STUDENT FLT;10001316;;;;EA;S/S;WISNU;WISNU;100;;1540/GRN/SPR/2016;AVIALL PTE LTD;2016-11-01;BOBBY;POM1110;INV/9304549123;PT.LINTAS DEWATA CARGO;;
Consumable Part;MANUAL GFD MULTI ENGINE;10001888-003;;;;EA;S/S;WISNU;WISNU;100;;1540/GRN/SPR/2016;AVIALL PTE LTD;2016-11-01;BOBBY;POM1110;INV/9304549123;PT.LINTAS DEWATA CARGO;;
Consumable Part;PLOTTER PJ-1  Rotable PartATING AZMIUTH;10009524-001;;;;EA;S/S;WISNU;WISNU;100;;1540/GRN/SPR/2016;AVIALL PTE LTD;2016-11-01;BOBBY;POM1110;INV/9304549123;PT.LINTAS DEWATA CARGO;;
Repairable Part;LIFE VEST;P01074-101;;12011480771;;EA;S/S;WISNU;B1;1;;1539/GRN/SPR/2016;PT.REKATAMA PUTRA GEGANA;2016-10-29;BOBBY;WO;INV/160/BPP/RPG/10/2016;VIA JNE;;
Repairable Part;LIFE VEST;P01074-101;;12011480532;;EA;S/S;WISNU;B1;1;;1539/GRN/SPR/2016;PT.REKATAMA PUTRA GEGANA;2016-10-29;BOBBY;WO;INV/160/BPP/RPG/10/2016;VIA JNE;;
Repairable Part;LIFE VEST;P01074-101;;11050300013;;EA;S/S;WISNU;B1;1;;1539/GRN/SPR/2016;PT.REKATAMA PUTRA GEGANA;2016-10-29;BOBBY;WO;INV/160/BPP/RPG/10/2016;VIA JNE;;
Repairable Part;LIFE VEST;P01074-101;;11050300009;;EA;S/S;WISNU;B1;1;;1539/GRN/SPR/2016;PT.REKATAMA PUTRA GEGANA;2016-10-29;BOBBY;WO;INV/16/BPP/RPG/10/2016;VIA JNE;;
