GROUP;DESCRIPTION;P/N;ALT P/N;S/N;MIN QTY;UNIT;CONDITION;WAREHOUSE;STORES;QTY;EXPIRED DATE;GRN NO;VENDOR;RECEIVED DATE;RECEIVED BY;ORDER NUMBER;REFERENCE NUMBER;AWB NUMBER;REMARK;UNIT VALUE
Consumable Part;CABIN DOOR HINGE PIN;0711001-59;;N/A;;;;WISNU;D2-16;2;;;;;;;;;;
Consumable Part;CABIN DOOR HINGE PIN;0711001-59;;N/A;;;;WISNU;D3-11;8;;;;;;;;;;
Consumable Part;CABLE;11-05650 FT;;N/A;;;;WISNU;H4-2;100;;;;;;;;;;
Consumable Part;CABLE;11-05651 FT;;N/A;;;;WISNU;H4-2;100;;;;;;;;;;
Consumable Part;CABLE;11-07773 FT;;N/A;;;;WISNU;H4-2;100;;;;;;;;;;
Consumable Part;CABLE;9864054-1;;N/A;;;;WISNU;D4;4;;;;;;;;;;
Consumable Part;CABLE;MC0510105-220;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE;MC0510105-242;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE;MC0510105-243;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE;MC0510105-264;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE;MC0510105-44;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE;MC0510105-45;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE (AILERON);MC0510105-241;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE (AILERON);MC0510105-244;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE (AILERON);MC0510105-265;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE (CABIN);MC0510105-260;;N/A;;;;WISNU;D4;2;;;;;;;;;;
Consumable Part;CABLE (ELEVATOR);MC0510105-208;;N/A;;;;WISNU;D4;2;;;;;;;;;;
Consumable Part;CABLE (FLAP);MC0510105-93;;N/A;;;;WISNU;D4;1;;;;;;;;;;
Consumable Part;CABLE (FLAP);MC0510105-94;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE (RTRIM WHEEL);MC0510105-221;;N/A;;;;WISNU;D4;2;;;;;;;;;;
Consumable Part;CABLE (RUDDER);MC0510105-238;;N/A;;;;WISNU;D4;6;;;;;;;;;;
Consumable Part;CABLE (RUDDER);MC0510105-238;;N/A;;;;WISNU;D4;1;;;;;;;;;;
Consumable Part;CABLE (RUDDER);MC0510105-239;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE ASSEMBLY;556-201;;N/A;;;;WISNU;G1;1;;;;;;;;;;
Consumable Part;CABLE ASSY;MC0510105-28;;N/A;;;;WISNU;D4;4;;;;;;;;;;
Consumable Part;CABLE ASSY;MC0510105-291;;N/A;;;;WISNU;D4;1;;;;;;;;;;
Consumable Part;CABLE ASSY;MC0510105-291;;N/A;;;;WISNU;D4;3;;;;;;;;;;
Consumable Part;CABLE AY ELEVATOR;0560051-103;;N/A;;;;WISNU;D4;7;;;;;;;;;;
Consumable Part;CABLE B NUT MIX222-4;05-16245;;N/A;;;;WISNU;A3-11;0;;;;;;;;;;
Consumable Part;CABLE CONTROL;554-471;;N/A;;;;WISNU;G1;3;;;;;;;;;;
Consumable Part;CABLE CONTROL;S1230-17;;N/A;;;;WISNU;D4;2;;;;;;;;;;
Consumable Part;CABLE END B NUT;05-16230;;N/A;;;;WISNU;A3-12;4;;;;;;;;;;
